"000000.png","4","712","143","810","307","58","38","66","83"
"000001.png","3","599","156","629","189","48","41","50","50"
"000001.png","1","387","181","423","203","31","48","34","54"
"000001.png","6","676","163","688","193","54","43","55","51"
"000001.png","9","503","169","590","190","40","45","47","50"
"000001.png","9","511","174","527","187","41","46","42","49"
"000001.png","9","532","176","542","185","42","47","43","49"
"000001.png","9","559","175","575","183","45","46","46","48"
"000002.png","8","804","167","995","327","64","44","80","87"
"000002.png","1","657","190","700","223","52","50","56","59"
"000003.png","1","614","181","727","284","49","48","58","75"
"000003.png","9","5","229","214","367","0","61","17","98"
"000003.png","9","522","202","547","219","42","53","44","58"
"000004.png","1","280","185","344","215","22","49","27","57"
"000004.png","1","365","184","406","205","29","49","32","54"
"000004.png","9","402","166","477","197","32","44","38","52"
"000004.png","9","518","177","531","187","41","47","42","49"
"000004.png","9","1207","233","1240","333","97","62","99","88"
"000004.png","9","535","177","545","185","43","47","43","49"
"000004.png","9","558","177","567","184","44","47","45","49"
"000005.png","4","330","178","360","238","26","47","29","63"
"000005.png","9","606","170","621","184","48","45","50","49"
"000005.png","9","606","170","621","184","48","45","50","49"
"000005.png","9","605","171","620","184","48","45","49","49"
"000005.png","9","566","168","585","184","45","45","47","49"
"000006.png","1","548","171","572","194","44","45","46","51"
"000006.png","1","505","168","575","209","40","45","46","55"
"000006.png","1","49","185","227","246","4","49","18","66"
"000006.png","1","328","170","397","204","26","45","32","54"
"000006.png","9","603","169","631","186","48","45","50","49"
"000006.png","9","578","168","603","187","46","45","48","50"
"000007.png","1","564","174","616","224","45","46","49","59"
"000007.png","1","481","180","512","202","38","48","41","53"
"000007.png","1","542","175","565","193","43","46","45","51"
"000007.png","6","330","176","355","213","26","46","28","56"
"000007.png","9","753","164","798","186","60","43","64","49"
"000007.png","9","738","171","753","184","59","45","60","49"
"000008.png","1","0","192","402","374","0","51","32","99"
"000008.png","1","334","178","624","372","26","47","50","99"
"000008.png","1","937","197","1241","374","75","52","99","99"
"000008.png","1","597","176","720","261","48","46","58","69"
"000008.png","1","741","168","792","208","59","45","63","55"
"000008.png","1","884","178","956","240","71","47","77","64"
"000008.png","9","800","163","825","184","64","43","66","49"
"000008.png","9","859","172","886","194","69","45","71","51"
"000008.png","9","801","163","825","183","64","43","66","48"
"000008.png","9","826","162","845","178","66","43","68","47"
"000009.png","1","601","177","659","229","48","47","53","61"
"000009.png","1","600","177","624","193","48","47","50","51"
"000009.png","1","574","178","598","194","46","47","48","51"
"000009.png","9","710","167","736","182","57","44","59","48"
"000009.png","9","758","156","782","179","61","41","63","47"
"000010.png","1","1013","182","1241","374","81","48","99","99"
"000010.png","1","354","185","549","294","28","49","44","78"
"000010.png","4","859","159","879","221","69","42","70","59"
"000010.png","1","819","178","926","251","65","47","74","67"
"000010.png","1","800","178","878","230","64","47","70","61"
"000010.png","1","558","179","635","230","44","47","51","61"
"000010.png","1","598","178","652","218","48","47","52","58"
"000010.png","1","784","178","839","220","63","47","67","58"
"000010.png","1","663","175","707","204","53","46","56","54"
"000010.png","9","737","163","790","197","59","43","63","52"
"000010.png","9","135","185","196","202","10","49","15","53"
"000010.png","9","796","162","862","183","64","43","69","48"
"000010.png","9","879","165","931","182","70","44","74","48"
